,raw_text,stemming_remove_stopwords,stemming,lemmatizing_remove_stopwords,lemmatizing,label
26,Good paymaster Poor management,good paymast poor manag,good paymast poor manag,good paymaster poor management,good paymaster poor management,NEUTRAL
27,"All good\, and even more None\, not a single one.",good even none singl one,all good and even more none not a singl one,good even none single one,all good and even more none not a single one,NEUTRAL
28,good culture,good cultur,good cultur,good culture,good culture,POSITIVE
29,great environment to work and build career,great environ work build career,great environ to work and build career,great environment work build career,great environment to work and build career,POSITIVE
30,"Good work culture\, helpful teamates Less pay thank other banks",good work cultur help teamat less pay thank bank,good work cultur help teamat less pay thank other bank,good work culture helpful teamates le pay thank bank,good work culture helpful teamates le pay thank other bank,NEUTRAL
31,"great benefits\, flexibility\, and career growth",great benefit flexibl career growth,great benefit flexibl and career growth,great benefit flexibility career growth,great benefit flexibility and career growth,POSITIVE
32,"Friendly\, Great Work Culture\, Great People",friendli great work cultur great peopl,friendli great work cultur great peopl,friendly great work culture great people,friendly great work culture great people,POSITIVE
33,Good Name and Good Pay,good name good pay,good name and good pay,good name good pay,good name and good pay,POSITIVE
34,big name barclays bank finance,big name barclay bank financ,big name barclay bank financ,big name barclays bank finance,big name barclays bank finance,POSITIVE
35,Great chance to learn banking No hikes and bad about laayoffs,great chanc learn bank hike bad laayoff,great chanc to learn bank No hike and bad about laayoff,great chance learn bank hike bad laayoffs,great chance to learn bank no hike and bad about laayoffs,NEUTRAL
36,Good people to work with Poor compensation and benefits. Long hours,good peopl work poor compens benefit long hour,good peopl to work with poor compens and benefit long hour,good people work poor compensation benefit long hour,good people to work with poor compensation and benefit long hour,NEUTRAL
37,"Unmotivated team\, no growth\, talent attrition",unmotiv team growth talent attrit,unmotiv team no growth talent attrit,unmotivated team growth talent attrition,unmotivated team no growth talent attrition,NEGATIVE
38,Vast opportunity for growth. too many organizational changes every now and then,vast opportun growth mani organiz chang everi now,vast opportun for growth too mani organiz chang everi now and then,vast opportunity growth many organizational change every now,vast opportunity for growth too many organizational change every now and then,NEUTRAL
39,everything is for cons.everything is for cons.,everyth conseveryth con,everyth is for conseveryth is for con,everything conseverything con,everything be for conseverything be for con,NEGATIVE
40,1.No vision,vision,No vision,vision,no vision,NEGATIVE
41,Great place to start a career,great place start career,great place to start a career,great place start career,great place to start a career,POSITIVE
42,Great reputation and global company,great reput global compani,great reput and global compani,great reputation global company,great reputation and global company,POSITIVE
43,No work life balance,work life balanc,No work life balanc,work life balance,no work life balance,NEGATIVE
44,"amazing place to work\, fun environment",amaz place work fun environ,amaz place to work fun environ,amaze place work fun environment,amaze place to work fun environment,POSITIVE
45,Flexible work env too much politics,flexibl work env much polit,flexibl work env too much polit,flexible work env much politics,flexible work env too much politics,NEUTRAL
46,"good work environment\, stable work",good work environ stabl work,good work environ stabl work,good work environment stable work,good work environment stable work,POSITIVE
47,Good Work culture,good work cultur,good work cultur,good work culture,good work culture,POSITIVE
48,Work-life balance,worklif balanc,worklif balanc,worklife balance,worklife balance,POSITIVE
49,good pay and good reputation,good pay good reput,good pay and good reput,good pay good reputation,good pay and good reputation,POSITIVE
50,Relaxed environment Too many Directors,relax environ mani director,relax environ too mani director,relax environment many director,relax environment too many director,NEUTRAL
51,"Size\, and Brand\, and Opportunity",size brand opportun,size and brand and opportun,size brand opportunity,size and brand and opportunity,POSITIVE
52,"Everything is good\, Amzzing workplace",everyth good amzz workplac,everyth is good amzz workplac,everything good amzzing workplace,everything be good amzzing workplace,POSITIVE
53,Good culture and a lot of learning,good cultur lot learn,good cultur and a lot of learn,good culture lot learn,good culture and a lot of learn,POSITIVE
54,good experience at barclays .,good experi barclay,good experi at barclay,good experience barclays,good experience at barclays,POSITIVE
55,Work culture is really good,work cultur realli good,work cultur is realli good,work culture really good,work culture be really good,POSITIVE
56,Working from home,work home,work from home,work home,work from home,POSITIVE
57,great benefits and culture in bank,great benefit cultur bank,great benefit and cultur in bank,great benefit culture bank,great benefit and culture in bank,POSITIVE
58,The bank has a great culture,bank great cultur,the bank ha a great cultur,bank great culture,the bank ha a great culture,POSITIVE
59,"Good development opportunity\, plenty of paths for upward promotion",good develop opportun plenti path upward promot,good develop opportun plenti of path for upward promot,good development opportunity plenty path upward promotion,good development opportunity plenty of path for upward promotion,POSITIVE
60,Good firm velocity and growth,good firm veloc growth,good firm veloc and growth,good firm velocity growth,good firm velocity and growth,POSITIVE
61,good to work if salary is good,good work salari good,good to work if salari is good,good work salary good,good to work if salary be good,POSITIVE
62,Freedom to be your own boss UK management ruined the company,freedom boss uk manag ruin compani,freedom to be your own boss UK manag ruin the compani,freedom bos uk management ruin company,freedom to be your own bos uk management ruin the company,NEUTRAL
63,"Flexible working hours and location\, Best 401 plan",flexibl work hour locat best plan,flexibl work hour and locat best plan,flexible work hour location best plan,flexible work hour and location best plan,POSITIVE
64,"benefits\, focus on US business\, household name work-life balance\, uncertainty over future growth",benefit focu us busi household name worklif balanc uncertainti futur growth,benefit focu on US busi household name worklif balanc uncertainti over futur growth,benefit focus u business household name worklife balance uncertainty future growth,benefit focus on u business household name worklife balance uncertainty over future growth,NEUTRAL
65,"Excellent company to work\, good salary",excel compani work good salari,excel compani to work good salari,excellent company work good salary,excellent company to work good salary,POSITIVE
66,Pretty good work life balance They could work on improving benefits and compensation,pretti good work life balanc work improv benefit compens,pretti good work life balanc they could work on improv benefit and compens,pretty good work life balance work improve benefit compensation,pretty good work life balance they could work on improve benefit and compensation,NEUTRAL
67,"International\, Diverse and strong culture",intern divers strong cultur,intern divers and strong cultur,international diverse strong culture,international diverse and strong culture,POSITIVE
68,Great team work and community,great team work commun,great team work and commun,great team work community,great team work and community,POSITIVE
69,Very bureaucratic,bureaucrat,veri bureaucrat,bureaucratic,very bureaucratic,NEGATIVE
70,"Exciting environment\, smart people\, good pay",excit environ smart peopl good pay,excit environ smart peopl good pay,excite environment smart people good pay,excite environment smart people good pay,POSITIVE
71,"Great people\, good culture here",great peopl good cultur,great peopl good cultur here,great people good culture,great people good culture here,POSITIVE
72,"Benefits are excellent\, work life balance is good Environment of fear\, poor mobility",benefit excel work life balanc good environ fear poor mobil,benefit are excel work life balanc is good environ of fear poor mobil,benefit excellent work life balance good environment fear poor mobility,benefit be excellent work life balance be good environment of fear poor mobility,NEUTRAL
73,Work life balance is good at Barclays,work life balanc good barclay,work life balanc is good at barclay,work life balance good barclays,work life balance be good at barclays,POSITIVE
74,"Flexible working hours\, great people and culture",flexibl work hour great peopl cultur,flexibl work hour great peopl and cultur,flexible work hour great people culture,flexible work hour great people and culture,POSITIVE
75,"nice people\, good client base from legacy Lehman takeover",nice peopl good client base legaci lehman takeov,nice peopl good client base from legaci lehman takeov,nice people good client base legacy lehman takeover,nice people good client base from legacy lehman takeover,POSITIVE
76,"Not much flexibility\, hierarchy\, bureaucracy\, face-time still prevalent.",much flexibl hierarchi bureaucraci facetim still preval,not much flexibl hierarchi bureaucraci facetim still preval,much flexibility hierarchy bureaucracy facetime still prevalent,not much flexibility hierarchy bureaucracy facetime still prevalent,NEGATIVE
77,Senior leaders take a lot of effort to mentor juniors,senior leader take lot effort mentor junior,senior leader take a lot of effort to mentor junior,senior leader take lot effort mentor junior,senior leader take a lot of effort to mentor junior,POSITIVE
78,Experienced & reputed senior analysts Technology and access to resources are limited,experienc reput senior analyst technolog access resourc limit,experienc reput senior analyst technolog and access to resourc are limit,experience repute senior analyst technology access resource limit,experience repute senior analyst technology and access to resource be limit,NEUTRAL
79,"Friendly people\, for the most part. Bank couldn't seem to get out of its own way.",friendli peopl part bank nt seem get way,friendli peopl for the most part bank could nt seem to get out of it own way,friendly people part bank nt seem get way,friendly people for the most part bank could nt seem to get out of it own way,NEUTRAL
80,Good technology and well managed,good technolog well manag,good technolog and well manag,good technology well manage,good technology and well manage,POSITIVE
81,none to speak of really. there were none to speak of,none speak realli none speak,none to speak of realli there were none to speak of,none speak really none speak,none to speak of really there be none to speak of,NEGATIVE
82,Strong sense of collaboration within desks,strong sens collabor within desk,strong sens of collabor within desk,strong sense collaboration within desk,strong sense of collaboration within desk,POSITIVE
83,Dog eat dog,dog eat dog,dog eat dog,dog eat dog,dog eat dog,NEGATIVE
84,"Flat org structure\, smart colleagues",flat org structur smart colleagu,flat org structur smart colleagu,flat org structure smart colleague,flat org structure smart colleague,POSITIVE
85,Very good benefits and work flexibilty,good benefit work flexibilti,veri good benefit and work flexibilti,good benefit work flexibilty,very good benefit and work flexibilty,POSITIVE
86,You can reach out diverse background people.,reach divers background peopl,you can reach out divers background peopl,reach diverse background people,you can reach out diverse background people,POSITIVE
87,"fun people work at the company no longer exists\, bought by stifel",fun peopl work compani longer exist bought stifel,fun peopl work at the compani no longer exist bought by stifel,fun people work company longer exist buy stifel,fun people work at the company no longer exist buy by stifel,NEGATIVE
88,Great team environment and culture,great team environ cultur,great team environ and cultur,great team environment culture,great team environment and culture,POSITIVE
89,This is a great place to start your career. The company is going through restructuring.,great place start career compani go restructur,thi is a great place to start your career the compani is go through restructur,great place start career company go restructure,this be a great place to start your career the company be go through restructure,NEUTRAL
90,"Great experience\, decent pay compared to street",great experi decent pay compar street,great experi decent pay compar to street,great experience decent pay compare street,great experience decent pay compare to street,POSITIVE
91,good people and culture that came from lehman brothers,good peopl cultur came lehman brother,good peopl and cultur that came from lehman brother,good people culture come lehman brother,good people and culture that come from lehman brother,POSITIVE
92,So far seems great. Good people. Goood benefits.,far seem great good peopl goood benefit,So far seem great good peopl goood benefit,far seem great good people goood benefit,so far seem great good people goood benefit,POSITIVE
93,"Good Support\, diversity and opportunities",good support divers opportun,good support divers and opportun,good support diversity opportunity,good support diversity and opportunity,POSITIVE
94,Good Salary at that time,good salari time,good salari at that time,good salary time,good salary at that time,POSITIVE
95,Great Company to work.,great compani work,great compani to work,great company work,great company to work,POSITIVE
96,"Flexibility\, fun culture\, great people",flexibl fun cultur great peopl,flexibl fun cultur great peopl,flexibility fun culture great people,flexibility fun culture great people,POSITIVE
97,Room to grow within the role Ability to move around within the organization,room grow within role abil move around within organ,room to grow within the role abil to move around within the organ,room grow within role ability move around within organization,room to grow within the role ability to move around within the organization,NEUTRAL
98,Great Company to work for. Less opportunities to work on .,great compani work less opportun work,great compani to work for less opportun to work on,great company work le opportunity work,great company to work for le opportunity to work on,NEUTRAL
99,"Good deal flow\, solid learning experience",good deal flow solid learn experi,good deal flow solid learn experi,good deal flow solid learn experience,good deal flow solid learn experience,POSITIVE
100,Nice place to work for.,nice place work,nice place to work for,nice place work,nice place to work for,POSITIVE
101,Great team environment,great team environ,great team environ,great team environment,great team environment,POSITIVE
102,Lack of care about employee wellbeing.,lack care employe wellb,lack of care about employe wellb,lack care employee wellbeing,lack of care about employee wellbeing,NEGATIVE
103,Great exposure across all lines of business. Great trajectory.,great exposur across line busi great trajectori,great exposur across all line of busi great trajectori,great exposure across line business great trajectory,great exposure across all line of business great trajectory,POSITIVE
104,Good Work Life Balance.Good people. Working on old legacy software. Compensations limited.,good work life balancegood peopl work old legaci softwar compens limit,good work life balancegood peopl work on old legaci softwar compens limit,good work life balancegood people work old legacy software compensation limit,good work life balancegood people work on old legacy software compensation limit,NEUTRAL
105,"Global reach\, opportunities for growth Muddled management plans\, lost its way in recent years",global reach opportun growth muddl manag plan lost way recent year,global reach opportun for growth muddl manag plan lost it way in recent year,global reach opportunity growth muddle management plan lose way recent year,global reach opportunity for growth muddle management plan lose it way in recent year,NEUTRAL
106,"Great work environment\, solid pay",great work environ solid pay,great work environ solid pay,great work environment solid pay,great work environment solid pay,POSITIVE
107,1. Approachable management,approach manag,approach manag,approachable management,approachable management,POSITIVE
108,Great benefits and great people work here Company is going through a lot of change; reorganization takes place every year,great benefit great peopl work compani go lot chang reorgan take place everi year,great benefit and great peopl work here compani is go through a lot of chang reorgan take place everi year,great benefit great people work company go lot change reorganization take place every year,great benefit and great people work here company be go through a lot of change reorganization take place every year,NEUTRAL
109,"Good working environment\, good benefit\, good working environment\, good benefit\, good working environment Long working hours sometimes weekend support",good work environ good benefit good work environ good benefit good work environ long work hour sometim weekend support,good work environ good benefit good work environ good benefit good work environ long work hour sometim weekend support,good work environment good benefit good work environment good benefit good work environment long work hour sometimes weekend support,good work environment good benefit good work environment good benefit good work environment long work hour sometimes weekend support,NEUTRAL
110,Great place to work at the time.,great place work time,great place to work at the time,great place work time,great place to work at the time,POSITIVE
111,"Great training program\, good people",great train program good peopl,great train program good peopl,great train program good people,great train program good people,POSITIVE
112,offer a lots of welfare and very stable,offer lot welfar stabl,offer a lot of welfar and veri stabl,offer lot welfare stable,offer a lot of welfare and very stable,POSITIVE
113,"good as starting point of your career some politics/management problem\, not much growth opportunity\, pay is not competitive",good start point career politicsmanag problem much growth opportun pay competit,good as start point of your career some politicsmanag problem not much growth opportun pay is not competit,good start point career politicsmanagement problem much growth opportunity pay competitive,good a start point of your career some politicsmanagement problem not much growth opportunity pay be not competitive,NEUTRAL
114,"Value driven\, customer focused organization",valu driven custom focus organ,valu driven custom focus organ,value drive customer focus organization,value drive customer focus organization,POSITIVE
115,Encouraging work culture with relaxed atmoshphere,encourag work cultur relax atmoshpher,encourag work cultur with relax atmoshpher,encourage work culture relax atmoshphere,encourage work culture with relax atmoshphere,POSITIVE
116,Good environment to work on,good environ work,good environ to work on,good environment work,good environment to work on,POSITIVE
117,pleasant work area upper management not in same location,pleasant work area upper manag locat,pleasant work area upper manag not in same locat,pleasant work area upper management location,pleasant work area upper management not in same location,NEUTRAL
118,"Good people \, great technologies to work for Sometimes can be challenging because of unnecessary politics",good peopl great technolog work sometim challeng unnecessari polit,good peopl great technolog to work for sometim can be challeng becaus of unnecessari polit,good people great technology work sometimes challenge unnecessary politics,good people great technology to work for sometimes can be challenge because of unnecessary politics,NEUTRAL
119,Very professional Bulge Bracket firm,profession bulg bracket firm,veri profession bulg bracket firm,professional bulge bracket firm,very professional bulge bracket firm,POSITIVE
120,No support from peer group.,support peer group,No support from peer group,support peer group,no support from peer group,NEGATIVE
121,Intern program was awesome - really good experience. Everyone was very nice and receptive to help!,intern program awesom realli good experi everyon nice recept help,intern program wa awesom realli good experi everyon wa veri nice and recept to help,intern program awesome really good experience everyone nice receptive help,intern program be awesome really good experience everyone be very nice and receptive to help,POSITIVE
122,Good to great colleagues to work with No strategic direction - incoherent,good great colleagu work strateg direct incoher,good to great colleagu to work with No strateg direct incoher,good great colleague work strategic direction incoherent,good to great colleague to work with no strategic direction incoherent,NEUTRAL
123,*Open environment,open environ,open environ,open environment,open environment,POSITIVE
124,Good work life balance. Not so good compensation,good work life balanc good compens,good work life balanc not so good compens,good work life balance good compensation,good work life balance not so good compensation,NEUTRAL
125,Incompetent staff in general and politics,incompet staff gener polit,incompet staff in gener and polit,incompetent staff general politics,incompetent staff in general and politics,NEGATIVE
126,Micro-manager from hell and his superior unaware of it leads to horrible possibilities.,micromanag hell superior unawar lead horribl possibl,micromanag from hell and hi superior unawar of it lead to horribl possibl,micromanager hell superior unaware lead horrible possibility,micromanager from hell and his superior unaware of it lead to horrible possibility,NEGATIVE
127,"good pay and flexibility\, with a good cultural environment",good pay flexibl good cultur environ,good pay and flexibl with a good cultur environ,good pay flexibility good cultural environment,good pay and flexibility with a good cultural environment,POSITIVE
128,"People are smart\, good training\, mobility possibilities some systems were disjointed\, company unfortunately was sold in the US",peopl smart good train mobil possibl system disjoint compani unfortun sold us,peopl are smart good train mobil possibl some system were disjoint compani unfortun wa sold in the US,people smart good train mobility possibility system disjoint company unfortunately sell u,people be smart good train mobility possibility some system be disjoint company unfortunately be sell in the u,NEUTRAL
129,Work life balance good peope and pay,work life balanc good peop pay,work life balanc good peop and pay,work life balance good peope pay,work life balance good peope and pay,POSITIVE
130,"Good people culture\, great place for women Too much senior management changes",good peopl cultur great place women much senior manag chang,good peopl cultur great place for women too much senior manag chang,good people culture great place women much senior management change,good people culture great place for women too much senior management change,NEUTRAL
131,International company with global opportunities,intern compani global opportun,intern compani with global opportun,international company global opportunity,international company with global opportunity,POSITIVE
132,Good Company for work and development,good compani work develop,good compani for work and develop,good company work development,good company for work and development,POSITIVE
133,"Benefits\, insurance great office setting. Upper management is great!",benefit insur great offic set upper manag great,benefit insur great offic set upper manag is great,benefit insurance great office set upper management great,benefit insurance great office set upper management be great,POSITIVE
134,Good work-life balance. Friendly team,good worklif balanc friendli team,good worklif balanc friendli team,good worklife balance friendly team,good worklife balance friendly team,POSITIVE
135,"great team\, and can learn a lot",great team learn lot,great team and can learn a lot,great team learn lot,great team and can learn a lot,POSITIVE
136,Very Nice policies.,nice polici,veri nice polici,nice policy,very nice policy,POSITIVE
137,"Awesome technology and tools if you work in Equities IT poor management\, too much of red tape",awesom technolog tool work equiti poor manag much red tape,awesom technolog and tool if you work in equiti IT poor manag too much of red tape,awesome technology tool work equity poor management much red tape,awesome technology and tool if you work in equity it poor management too much of red tape,NEUTRAL
138,"Good projects\, some good people. Declining business\, a lot of waste in sub standard talent.",good project good peopl declin busi lot wast sub standard talent,good project some good peopl declin busi a lot of wast in sub standard talent,good project good people decline business lot waste sub standard talent,good project some good people decline business a lot of waste in sub standard talent,NEUTRAL
139,Good work life balance. Their benefits are also decent. None that I can think of.,good work life balanc benefit also decent none think,good work life balanc their benefit are also decent none that I can think of,good work life balance benefit also decent none think,good work life balance their benefit be also decent none that i can think of,NEUTRAL
140,"Nice work environment\, teams are driven to deliver. disorderly management. Employee growth given zero priority.",nice work environ team driven deliv disorderli manag employe growth given zero prioriti,nice work environ team are driven to deliv disorderli manag employe growth given zero prioriti,nice work environment team drive deliver disorderly management employee growth give zero priority,nice work environment team be drive to deliver disorderly management employee growth give zero priority,NEUTRAL
141,always positive environment in the organization,alway posit environ organ,alway posit environ in the organ,always positive environment organization,always positive environment in the organization,POSITIVE
142,"Company has seen better days. Smart people but management is out of touch Lower compensation\, management out of touch",compani seen better day smart peopl manag touch lower compens manag touch,compani ha seen better day smart peopl but manag is out of touch lower compens manag out of touch,company see better day smart people management touch lower compensation management touch,company ha see better day smart people but management be out of touch lower compensation management out of touch,NEUTRAL
143,"Good benefits\, average pay\, Hard working people UK Centric\, decisions made overnight\, communication patchy",good benefit averag pay hard work peopl uk centric decis made overnight commun patchi,good benefit averag pay hard work peopl UK centric decis made overnight commun patchi,good benefit average pay hard work people uk centric decision make overnight communication patchy,good benefit average pay hard work people uk centric decision make overnight communication patchy,NEUTRAL
144,Smart people around. Easy access to management team.,smart peopl around easi access manag team,smart peopl around easi access to manag team,smart people around easy access management team,smart people around easy access to management team,POSITIVE
145,"Good exit ops\, good hours for IBD",good exit op good hour ibd,good exit op good hour for ibd,good exit ops good hour ibd,good exit ops good hour for ibd,POSITIVE
146,good environment and good culture.Supportive teams.,good environ good culturesupport team,good environ and good culturesupport team,good environment good culturesupportive team,good environment and good culturesupportive team,POSITIVE
147,"Large company\, position is highly specialized",larg compani posit highli special,larg compani posit is highli special,large company position highly specialize,large company position be highly specialize,POSITIVE
148,big bank red tape to the 9th degree,big bank red tape th degre,big bank red tape to the th degre,big bank red tape th degree,big bank red tape to the th degree,NEGATIVE
149,there are many smart people you can learn from,mani smart peopl learn,there are mani smart peopl you can learn from,many smart people learn,there be many smart people you can learn from,POSITIVE
150,Close knit team. Very client focused. Good mentorship.,close knit team client focus good mentorship,close knit team veri client focus good mentorship,close knit team client focus good mentorship,close knit team very client focus good mentorship,POSITIVE
151,Loved the culture. Very team oriented and the senior executives are easily accessable.,love cultur team orient senior execut easili access,love the cultur veri team orient and the senior execut are easili access,love culture team orient senior executive easily accessable,love the culture very team orient and the senior executive be easily accessable,POSITIVE
152,Great experience! I interned two summers in a row and gained awesome experince from marketing related projects.,great experi intern two summer row gain awesom experinc market relat project,great experi I intern two summer in a row and gain awesom experinc from market relat project,great experience intern two summer row gain awesome experince market relate project,great experience i intern two summer in a row and gain awesome experince from market relate project,POSITIVE
153,Great learning opportunities provided to all levels of staff.,great learn opportun provid level staff,great learn opportun provid to all level of staff,great learn opportunity provide level staff,great learn opportunity provide to all level of staff,POSITIVE
154,"Work life balance\, friendly env Technology is far behind\, need improvement",work life balanc friendli env technolog far behind need improv,work life balanc friendli env technolog is far behind need improv,work life balance friendly env technology far behind need improvement,work life balance friendly env technology be far behind need improvement,NEUTRAL
155,"Great people\, and diverse work and teams",great peopl divers work team,great peopl and divers work and team,great people diverse work team,great people and diverse work and team,POSITIVE
156,Good work life balance and fun culture,good work life balanc fun cultur,good work life balanc and fun cultur,good work life balance fun culture,good work life balance and fun culture,POSITIVE
157,"Management\, poor communication between departments",manag poor commun depart,manag poor commun between depart,management poor communication department,management poor communication between department,NEGATIVE
158,Great people always willing to help others on your team long hours with a decreasing work force,great peopl alway will help other team long hour decreas work forc,great peopl alway will to help other on your team long hour with a decreas work forc,great people always will help others team long hour decrease work force,great people always will to help others on your team long hour with a decrease work force,NEUTRAL
159,Friendly colleagues and are very approachable,friendli colleagu approach,friendli colleagu and are veri approach,friendly colleague approachable,friendly colleague and be very approachable,POSITIVE
160,Stimulating work environment. Good Salary. Great company.,stimul work environ good salari great compani,stimul work environ good salari great compani,stimulate work environment good salary great company,stimulate work environment good salary great company,POSITIVE
161,Many diverse opportunities across the company Lots of change within the company,mani divers opportun across compani lot chang within compani,mani divers opportun across the compani lot of chang within the compani,many diverse opportunity across company lot change within company,many diverse opportunity across the company lot of change within the company,NEUTRAL
162,Professional environment and very detailed with the work.,profession environ detail work,profession environ and veri detail with the work,professional environment detail work,professional environment and very detail with the work,POSITIVE
163,"UK Head quarters\, business casual poor leadership\, behind the curve in the industry",uk head quarter busi casual poor leadership behind curv industri,UK head quarter busi casual poor leadership behind the curv in the industri,uk head quarter business casual poor leadership behind curve industry,uk head quarter business casual poor leadership behind the curve in the industry,NEGATIVE
164,Laid back and values its employees,laid back valu employe,laid back and valu it employe,lay back value employee,lay back and value it employee,POSITIVE
165,"Overtime\, hours\, casual Fridays\, work from home Bonus\, raises\, promotions\, senior management",overtim hour casual friday work home bonu rais promot senior manag,overtim hour casual friday work from home bonu rais promot senior manag,overtime hour casual friday work home bonus raise promotion senior management,overtime hour casual friday work from home bonus raise promotion senior management,NEUTRAL
166,"Family culture\, balance life\, great manager",famili cultur balanc life great manag,famili cultur balanc life great manag,family culture balance life great manager,family culture balance life great manager,POSITIVE
167,Great pay.,great pay,great pay,great pay,great pay,POSITIVE
168,Outstanding work environment,outstand work environ,outstand work environ,outstanding work environment,outstanding work environment,POSITIVE
169,"Nice colleagues\, able to work with people from multiple continents",nice colleagu abl work peopl multipl contin,nice colleagu abl to work with peopl from multipl contin,nice colleague able work people multiple continent,nice colleague able to work with people from multiple continent,POSITIVE
170,challenging job but learned a lot,challeng job learn lot,challeng job but learn a lot,challenge job learn lot,challenge job but learn a lot,POSITIVE
171,Upper management has taken away all incentives to succeed.,upper manag taken away incent succeed,upper manag ha taken away all incent to succeed,upper management take away incentive succeed,upper management ha take away all incentive to succeed,NEGATIVE
172,lot of things to learn - technology is latest,lot thing learn technolog latest,lot of thing to learn technolog is latest,lot thing learn technology latest,lot of thing to learn technology be latest,POSITIVE
173,The company's location in midtown is great.,compani locat midtown great,the compani s locat in midtown is great,company location midtown great,the company s location in midtown be great,POSITIVE
174,work life balance is good sometimes people who are not deserving get promoted,work life balanc good sometim peopl deserv get promot,work life balanc is good sometim peopl who are not deserv get promot,work life balance good sometimes people deserve get promote,work life balance be good sometimes people who be not deserve get promote,NEUTRAL
175,"experience\, people are enjoyable\, big name terrible pay\, no direction\, long hours",experi peopl enjoy big name terribl pay direct long hour,experi peopl are enjoy big name terribl pay no direct long hour,experience people enjoyable big name terrible pay direction long hour,experience people be enjoyable big name terrible pay no direction long hour,NEUTRAL
176,"good working environment\, good people\,",good work environ good peopl,good work environ good peopl,good work environment good people,good work environment good people,POSITIVE
177,"Awesome experience\, great people and I learned tremendously",awesom experi great peopl learn tremend,awesom experi great peopl and I learn tremend,awesome experience great people learn tremendously,awesome experience great people and i learn tremendously,POSITIVE
178,Comfortable office Delaware really feels removed from NYC activities,comfort offic delawar realli feel remov nyc activ,comfort offic delawar realli feel remov from nyc activ,comfortable office delaware really feel remove nyc activity,comfortable office delaware really feel remove from nyc activity,NEUTRAL
